id,ime,drzava,tocke
385,RINER Teddy,FRA,3250
11651,HARASAWA Hisayoshi,JPN,2830
3278,SASSON Or,ISR,1992
3393,NATEA Daniel,ROU,1930
3394,MEYER Roy,NED,1862
14698,KHAMMO Iakiv,UKR,1820
245,BOR Barna,HUN,1492
2618,SILVA Rafael,BRA,1451
2505,JABALLAH Faicel,TUN,1450
1982,KIM Sungmin,KOR,1409
2620,MOURA David,BRA,1404
3740,MATIASHVILI Levani,GEO,1300
2378,SAIDOV Renat,RUS,1210
7214,VOLKOV Andrey,RUS,1121
712,TANGRIEV Abdullo,UZB,981
9158,SHICHINOHE Ryu,JPN,960
2137,OKRUASHVILI Adam,GEO,931
10388,TAYEB Mohammed amine,ALG,908
1243,BREITBARTH Andre,GER,904
13278,KOKAURI Ushangi,AZE,870
2795,KRAKOVETSKII Iurii,KGZ,842
9443,SARNACKI Maciej,POL,830
225,BATTULGA Temuulen,MGL,829
1405,GARCIA MENDOZA Alex,CUB,814
2338,SHYNKEYEV Yerzhan,KAZ,754
676,BONDARENKO Stanislav,UKR,743
11100,OJITANI Takeshi,JPN,740
3529,HEINLE Sven,GER,672
2289,KAMBIEV Aslan,RUS,610
892,EL SHEHABY Islam,EGY,580
15323,GORDIIENKO Oleksandr,UKR,570
3649,ALLERSTORFER Daniel,AUT,543
1083,METTIS Juhan,EST,513
8406,CUEVAS Jose,MEX,471
12236,FIGUEROA Freddy,ECU,440
17672,NISHIGATA Kenta,JPN,440
1268,HARMEGNIES Benjamin,BEL,429
2311,BONVOISIN Jean-sebastien,FRA,422
28416,BERARD Nicolas,AUS,410
3771,ULZIIBAYAR Duurenbayar,MGL,409
2476,ANDREWARTHA Jake,AUS,408
4179,MALKI El Mehdi,MAR,401
30771,KAGEURA Kokoro,JPN,400
1827,BOSTANOV Soslan,RUS,385
1261,SIMIONESCU Vladut,ROU,363
4171,VAKHAVIAK Aliaksandr,BLR,360
4525,ABDURAKHMONOV Mukhamadmurod,TJK,340
535,PASKEVICIUS Marius,LTU,337
17382,OGAWA Yusei,JPN,336
8606,WAHID Ahmed,EGY,312
17722,UEDA Katsuma,JPN,301
4663,HORAK Michal,CZE,297
5298,PINEDA Pedro,VEN,277
9467,PICARD Jeremy,PYF,240
2066,CERAJ Matjaz,SLO,235
3781,ZALAGH Nabil,FRA,232
11124,MASHARIPOV Elyor,UZB,204
24928,BRACHEV Anton,RUS,200
1383,NAZHMUDINOV Magomed,RUS,182
10511,ZOUANI Bilal,ALG,177
28889,OUCHANI Hamza,FRA,176
23288,YEA-ON Kunathip,THA,162
15645,LILI Mohamed el mehdi,ALG,160
6997,BALTAEV Boltoboy,UZB,156
9362,DRAGIC Vito,SLO,154
11516,ROSSER Sam,NZL,138
8370,MACHUTADZE Nodar,UKR,128
5286,MEDEUF Cedric,FRA,128
13947,MASCETTI Alessio,ITA,126
17764,IWAO Keita,JPN,120
3738,BUGHADZE Onise,GEO,120
16166,KOTCHA Aspa ange philippe,CIV,120
87,JONSSON Thormodur,ISL,115
14614,CULUM Zarko,SRB,108
5807,FERNANDEZ David,ESP,107
15545,PILETA Ramon,HON,106
1311,YAZICI Feyyaz,TUR,103
7435,TADEHARA Ajax,USA,100
34321,TANAKA Hirotaka,JPN,100
3710,ABDULOV Aituar,KAZ,99
15218,SILVA Diogo,POR,86
9904,SUA Derek,SAM,84
63,KIM Soo-whan,KOR,81
11540,LEE Po yen,TPE,75
2720,SHERRINGTON Christopher,GBR,74
25554,VELASCO Johao,ECU,74
1931,THOREL Matthieu,FRA,70
15510,GRABOWSKI Kamil,POL,70
9802,SARKISIAN Stepan,RUS,70
12506,MISRI Husein,KUW,65
30959,SIDIBE Rachid,BUR,64
3901,TUROBOEV Shukhrat,UZB,60
16661,CARRASCO Sergio,CHI,60
34375,SHIN Jeongyoun,KOR,60
15774,RODRIGUEZ Ignacio,CAN,60
3676,KOLESNYK Andrii,UKR,56
4731,DEMETER Bendeguz,HUN,50
12099,KESAEV Sergey,RUS,50
9347,COVIC Ivan,CRO,48
18491,WACZULIK Richard,HUN,48
468,PARRA Angel,ESP,40
13012,ABDALLAOUI Mustapha,MAR,40
22078,TSIARPITSKI Uladzislau,BLR,40
26670,YOUN Jaegu,KOR,40
1128,NIKIFORENKO Arturs,LAT,36
5191,SHEN Zhuhong,CHN,36
