id,zlato,srebro,bron
6998,0,0,0
4525,0,0,0
13770,0,0,0
15969,0,0,0
9187,0,0,0
2317,0,1,0
1039,0,0,2
5656,0,0,0
5876,0,0,0
3649,0,0,0
2081,0,0,0
738,0,1,1
1927,0,0,0
9713,0,1,0
16921,0,0,0
2313,1,0,0
2476,0,0,0
9246,0,0,0
12276,0,0,0
4378,0,0,0
1432,0,0,0
1249,0,0,0
935,0,0,0
10374,0,0,0
6692,0,0,0
15225,0,0,0
15143,1,0,0
7113,0,0,0
3470,1,0,0
3754,0,0,0
225,0,0,0
538,0,0,0
3244,0,0,0
465,0,0,0
761,0,0,0
11646,0,0,0
952,0,1,0
3327,0,0,0
19015,0,0,0
674,0,0,0
480,0,0,0
18897,0,0,0
676,0,0,0
245,0,0,0
565,0,0,0
2556,0,0,0
9173,0,0,0
17878,0,0,0
2539,0,0,0
1243,0,0,0
10231,0,0,0
1518,0,0,0
1898,0,0,0
11829,0,0,0
433,0,0,0
2673,0,0,0
384,0,1,0
3001,0,0,0
2997,0,0,0
3082,0,0,0
2066,0,0,0
721,0,0,0
231,0,0,0
822,0,0,0
1802,0,0,0
3940,0,0,1
2765,0,0,0
2255,0,0,0
4072,0,0,0
4443,0,0,0
2045,0,0,0
9714,0,0,0
2164,0,0,0
708,0,0,0
370,0,0,0
660,0,0,0
10361,0,0,0
3908,0,0,0
107,0,0,1
434,0,0,0
953,0,0,0
9490,0,0,0
241,0,0,1
2214,0,0,0
6877,0,0,0
891,0,0,0
1530,0,0,0
425,0,0,0
1331,0,0,0
13509,0,0,0
1503,0,0,0
2085,0,0,0
362,0,0,0
12828,0,0,0
9394,0,0,0
3936,0,0,0
4294,0,0,0
8177,0,0,0
1540,0,1,0
22303,0,0,0
7528,0,0,0
271,0,0,0
650,0,0,0
1781,0,0,0
10470,0,0,0
884,0,0,0
732,0,0,0
1787,0,0,2
2718,0,0,0
892,0,0,0
11407,0,0,0
4504,0,0,0
3049,0,0,0
277,0,0,0
279,0,0,0
417,0,0,1
1729,0,0,0
280,0,0,0
5293,0,0,0
11850,0,0,0
2203,0,0,0
378,0,0,0
12236,0,0,0
3239,0,0,0
219,0,0,0
9564,0,0,0
9396,0,0,0
3528,0,0,0
25530,0,0,1
353,1,0,0
4224,0,0,0
5310,0,0,0
6014,0,0,0
1405,0,0,0
9365,0,0,0
20,0,1,0
25,0,0,0
12531,0,0,0
16434,0,0,0
7910,0,0,0
1880,0,0,1
2928,0,0,0
15897,0,0,0
1920,0,1,0
3469,0,1,0
422,0,0,0
8668,0,0,0
2375,0,0,1
7805,0,0,0
1745,0,0,0
7755,0,1,0
4360,0,0,0
3292,0,0,0
1681,0,0,0
285,0,0,1
3354,0,0,0
4492,0,0,0
2698,0,0,0
431,0,0,0
8167,0,0,0
10038,0,0,1
1452,0,0,0
15877,0,0,0
3623,0,0,1
9627,0,0,0
11651,0,1,0
54,2,0,0
3104,0,0,0
3509,0,0,0
